image,row,col,x_px,y_px
left05.jpg,5,2,248.226822,160.482452
left05.jpg,5,3,253.039444,197.070068
left05.jpg,5,4,258.225403,237.174820
left05.jpg,5,5,264.440460,280.783142
left05.jpg,5,6,271.654114,328.046356
left05.jpg,5,7,279.634094,378.691803
left05.jpg,5,8,288.525848,431.675690
left06.jpg,0,0,588.920959,138.742447
left06.jpg,0,1,586.095154,175.477127
left06.jpg,0,2,582.745483,212.217438
left06.jpg,0,3,578.663391,248.815964
left06.jpg,0,4,573.954102,284.917786
left06.jpg,0,5,568.701721,320.597870
left06.jpg,0,6,563.019531,355.028076
left06.jpg,0,7,556.807495,388.787689
left06.jpg,0,8,550.330322,420.680145
left06.jpg,1,0,553.031006,135.920135
left06.jpg,1,1,550.367126,171.932190
left06.jpg,1,2,546.956360,208.228867
left06.jpg,1,3,542.914612,244.333832
left06.jpg,1,4,538.553955,280.196075
left06.jpg,1,5,533.659546,315.064667
left06.jpg,1,6,528.421021,349.292603
left06.jpg,1,7,522.705750,382.655090
left06.jpg,1,8,516.847412,414.534058
left06.jpg,2,0,517.729980,133.087189
left06.jpg,2,1,514.947510,168.608887
left06.jpg,2,2,511.512665,204.295227
left06.jpg,2,3,507.795258,240.063553
left06.jpg,2,4,503.594574,275.152161
left06.jpg,2,5,499.159485,309.652344
left06.jpg,2,6,494.271942,343.449402
left06.jpg,2,7,489.400879,376.555511
left06.jpg,2,8,483.948639,408.048309
left06.jpg,3,0,483.103210,130.622696
left06.jpg,3,1,480.313843,165.795593
left06.jpg,3,2,476.943848,200.779556
left06.jpg,3,3,473.422882,235.749603
left06.jpg,3,4,469.409729,270.382812
left06.jpg,3,5,465.404114,304.318756
left06.jpg,3,6,460.955994,337.619324
left06.jpg,3,7,456.407898,370.087006
left06.jpg,3,8,451.687775,401.189453
left06.jpg,4,0,449.558044,128.558273
left06.jpg,4,1,446.647919,162.853851
left06.jpg,4,2,443.275604,197.543427
left06.jpg,4,3,439.858337,231.567200
left06.jpg,4,4,436.235840,265.606445
left06.jpg,4,5,432.634827,298.916626
left06.jpg,4,6,428.476013,331.666962
left06.jpg,4,7,424.475128,363.620972
left06.jpg,4,8,420.331482,394.346100
left06.jpg,5,0,417.119141,127.127419
left06.jpg,5,1,414.129944,160.370285
left06.jpg,5,2,410.931976,194.222015
left06.jpg,5,3,407.727448,227.808014
left06.jpg,5,4,404.440521,260.956360
left06.jpg,5,5,400.812103,293.558960
left06.jpg,5,6,397.298401,325.643188
left06.jpg,5,7,393.676208,357.046356
left06.jpg,5,8,390.154419,387.307800
left07.jpg,0,0,368.984711,137.589706
left07.jpg,0,1,358.262360,169.289017
left07.jpg,0,2,347.211151,201.877975
left07.jpg,0,3,336.114380,234.657730
left07.jpg,0,4,324.895477,267.449493
left07.jpg,0,5,313.899628,300.309662
left07.jpg,0,6,303.014893,332.903900
left07.jpg,0,7,292.147980,365.205841
left07.jpg,0,8,281.771057,396.484802
left07.jpg,1,0,338.394440,130.055237
left07.jpg,1,1,327.564178,161.105072
left07.jpg,1,2,316.610138,192.721115
left07.jpg,1,3,305.529877,224.801773
left07.jpg,1,4,294.529816,256.951050
left07.jpg,1,5,283.784302,289.035828
left07.jpg,1,6,273.081665,321.065582
left07.jpg,1,7,262.534454,352.557526
left07.jpg,1,8,252.577667,383.385254
left07.jpg,2,0,309.143799,123.141502
left07.jpg,2,1,298.245972,153.350616
left07.jpg,2,2,287.386353,184.223694
left07.jpg,2,3,276.394958,215.449631
left07.jpg,2,4,265.649963,246.777969
left07.jpg,2,5,255.114990,278.300781
left07.jpg,2,6,244.651199,309.411407
left07.jpg,2,7,234.625259,340.450714
left07.jpg,2,8,224.762131,371.053802
left07.jpg,3,0,281.365845,116.674767
left07.jpg,3,1,270.425171,146.207581
left07.jpg,3,2,259.557190,176.244354
left07.jpg,3,3,248.788147,206.747375
left07.jpg,3,4,238.358017,237.244415
left07.jpg,3,5,228.095078,267.832825
left07.jpg,3,6,217.964355,298.316956
left07.jpg,3,7,208.297272,328.621429
left07.jpg,3,8,198.941559,358.272095
left07.jpg,4,0,254.872086,110.848915
left07.jpg,4,1,244.124451,139.462769
left07.jpg,4,2,233.372696,168.716385
left07.jpg,4,3,222.703217,198.398865
left07.jpg,4,4,212.420654,228.142303
left07.jpg,4,5,202.479279,257.942810
left07.jpg,4,6,192.583008,287.622742
left07.jpg,4,7,183.223663,317.156616
left07.jpg,4,8,174.119080,347.311890
left07.jpg,5,0,230.229660,105.477722
left07.jpg,5,1,219.328568,133.322250
left07.jpg,5,2,208.779221,161.714005
left07.jpg,5,3,198.444733,190.622375
left07.jpg,5,4,188.297775,219.422333
left07.jpg,5,5,178.532654,248.502014
left07.jpg,5,6,169.140518,277.471313
left07.jpg,5,7,160.052414,306.339752
left07.jpg,5,8,151.483688,334.617706
left08.jpg,0,0,470.811340,92.583267
left08.jpg,0,1,465.257874,126.090904
left08.jpg,0,2,459.148865,162.353912
left08.jpg,0,3,452.026215,201.139832
left08.jpg,0,4,444.302826,242.664230
left08.jpg,0,5,435.175262,286.789154
left08.jpg,0,6,425.569214,332.797455
left08.jpg,0,7,415.090240,380.648407
left08.jpg,0,8,403.950134,428.962982
left08.jpg,1,0,431.108154,87.906242
left08.jpg,1,1,424.229828,120.615791
left08.jpg,1,2,416.542847,156.406921
left08.jpg,1,3,408.153961,194.400162
left08.jpg,1,4,399.148621,235.027145
left08.jpg,1,5,388.811798,278.331207
left08.jpg,1,6,378.292450,323.501038
left08.jpg,1,7,367.162781,370.416107
left08.jpg,1,8,355.531616,417.858429
left08.jpg,2,0,392.100250,84.118057
left08.jpg,2,1,384.021729,115.858536
left08.jpg,2,2,375.098602,150.734528
left08.jpg,2,3,365.438080,188.253265
left08.jpg,2,4,355.265228,227.820923
left08.jpg,2,5,343.881409,270.030029
left08.jpg,2,6,332.555725,314.108765
left08.jpg,2,7,321.012817,359.738525
left08.jpg,2,8,309.048004,406.085968
